inspected_at,url,verdict,coverage_state,indexing_state,robots_txt_state,page_fetch_state,last_crawl_time,crawled_as,google_canonical,user_canonical,canonical_match,mobile_usability_verdict,rich_results_verdict,rich_results_types,sitemap_listed,referring_urls_count,error
2026-09-15T05:12:36Z,https://www.myglobalhealth.online/romania/ro/doctors,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-15T01:03:06Z,MOBILE,https://www.myglobalhealth.online/romania/ro/doctors,https://www.myglobalhealth.online/romania/ro/doctors,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,2,
2026-09-15T05:12:36Z,https://www.myglobalhealth.online/romania/ro/gp-consultation-online,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-26T03:53:39Z,MOBILE,https://www.myglobalhealth.online/romania/ro/gp-consultation-online,https://www.myglobalhealth.online/romania/ro/gp-consultation-online,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,2,
2026-09-15T05:12:36Z,https://www.myglobalhealth.online/romania/ro/see-a-specialist,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-14T20:57:16Z,MOBILE,https://www.myglobalhealth.online/romania/ro/see-a-specialist,https://www.myglobalhealth.online/romania/ro/see-a-specialist,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,2,
2026-09-15T05:12:36Z,https://www.myglobalhealth.online/romania/ro/book,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-19T08:22:13Z,MOBILE,https://www.myglobalhealth.online/romania/ro/book,https://www.myglobalhealth.online/romania/ro/book,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,1,
2026-09-15T05:12:36Z,https://www.myglobalhealth.online/romania/ro/lab-tests,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-08T15:14:07Z,MOBILE,https://www.myglobalhealth.online/romania/ro/lab-tests,https://www.myglobalhealth.online/romania/ro/lab-tests,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,3,
2026-09-15T05:12:36Z,https://www.myglobalhealth.online/romania/ro/pricing,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-19T20:17:21Z,MOBILE,https://www.myglobalhealth.online/romania/ro/pricing,https://www.myglobalhealth.online/romania/ro/pricing,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,1,
2026-09-15T05:12:36Z,https://www.myglobalhealth.online/romania/ro/blog,NEUTRAL,Discovered - currently not indexed,INDEXING_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,CRAWLING_USER_AGENT_UNSPECIFIED,,,unknown,VERDICT_UNSPECIFIED,,,yes,1,
2026-09-15T05:12:36Z,https://www.myglobalhealth.online/romania/ro/contact,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-25T06:06:50Z,MOBILE,https://www.myglobalhealth.online/romania/ro/contact,https://www.myglobalhealth.online/romania/ro/contact,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,2,
2026-09-15T05:12:36Z,https://www.myglobalhealth.online/romania/ro/about,NEUTRAL,Discovered - currently not indexed,INDEXING_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,CRAWLING_USER_AGENT_UNSPECIFIED,,,unknown,VERDICT_UNSPECIFIED,,,yes,3,
2026-09-15T05:12:36Z,https://www.myglobalhealth.online/romania/ro/careers,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-30T22:14:29Z,MOBILE,https://www.myglobalhealth.online/romania/ro/careers,https://www.myglobalhealth.online/romania/ro/careers,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,1,
2026-09-15T05:14:44Z,https://www.myglobalhealth.online/romania/ro/press,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,unknown,VERDICT_UNSPECIFIED,,,no,0,
2026-09-15T05:14:44Z,https://www.myglobalhealth.online/romania/ro/faq,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-15T16:10:12Z,MOBILE,https://www.myglobalhealth.online/romania/ro/faq,https://www.myglobalhealth.online/romania/ro/faq,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,no,2,
2026-09-15T05:14:44Z,https://www.myglobalhealth.online/brazil/pt,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-14T18:19:02Z,MOBILE,https://www.myglobalhealth.online/brazil/pt,https://www.myglobalhealth.online/brazil/pt,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,no,4,
2026-09-15T05:14:44Z,https://www.myglobalhealth.online/brazil/pt/doctors,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-06T10:11:33Z,MOBILE,https://www.myglobalhealth.online/brazil/pt/doctors,https://www.myglobalhealth.online/brazil/pt/doctors,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,1,
2026-09-15T05:14:44Z,https://www.myglobalhealth.online/brazil/pt/gp-consultation-online,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-06T19:05:31Z,MOBILE,https://www.myglobalhealth.online/brazil/pt/gp-consultation-online,https://www.myglobalhealth.online/brazil/pt/gp-consultation-online,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,3,
2026-09-15T05:14:44Z,https://www.myglobalhealth.online/brazil/pt/book,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-25T19:23:01Z,MOBILE,https://www.myglobalhealth.online/brazil/pt/book,https://www.myglobalhealth.online/brazil/pt/book,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,no,2,
2026-09-15T05:14:44Z,https://www.myglobalhealth.online/brazil/pt/pricing,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-20T00:41:04Z,MOBILE,https://www.myglobalhealth.online/brazil/pt/pricing,https://www.myglobalhealth.online/brazil/pt/pricing,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,no,1,
2026-09-15T05:14:44Z,https://www.myglobalhealth.online/brazil/pt/blog,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-22T03:39:01Z,MOBILE,https://www.myglobalhealth.online/brazil/pt/blog,https://www.myglobalhealth.online/brazil/pt/blog,yes,VERDICT_UNSPECIFIED,,,yes,1,
2026-09-15T05:14:44Z,https://www.myglobalhealth.online/brazil/pt/contact,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-06T23:41:32Z,MOBILE,https://www.myglobalhealth.online/brazil/pt/contact,https://www.myglobalhealth.online/brazil/pt/contact,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,1,
2026-09-15T05:14:44Z,https://www.myglobalhealth.online/brazil/pt/about,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-12T10:13:41Z,MOBILE,https://www.myglobalhealth.online/brazil/pt/about,https://www.myglobalhealth.online/brazil/pt/about,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,3,
2026-09-15T05:16:47Z,https://www.myglobalhealth.online/brazil/pt/careers,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-04T05:49:09Z,MOBILE,https://www.myglobalhealth.online/brazil/pt/careers,https://www.myglobalhealth.online/brazil/pt/careers,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,3,
2026-09-15T05:16:47Z,https://www.myglobalhealth.online/brazil/pt/press,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-03T04:23:51Z,MOBILE,https://www.myglobalhealth.online/brazil/pt/press,https://www.myglobalhealth.online/brazil/pt/press,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,3,
2026-09-15T05:16:47Z,https://www.myglobalhealth.online/brazil/pt/faq,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-16T16:37:38Z,MOBILE,https://www.myglobalhealth.online/brazil/pt/faq,https://www.myglobalhealth.online/brazil/pt/faq,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,3,
2026-09-15T05:16:47Z,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-07T14:49:07Z,MOBILE,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,1,
2026-09-15T05:16:47Z,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-25T19:39:19Z,MOBILE,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,3,
2026-09-15T05:16:47Z,https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-08T03:04:36Z,MOBILE,https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator,https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,no,4,
2026-09-15T05:16:47Z,https://www.myglobalhealth.online/spain/es/tools/bmi-calculator,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-07T23:25:03Z,MOBILE,https://www.myglobalhealth.online/spain/es/tools/bmi-calculator,https://www.myglobalhealth.online/spain/es/tools/bmi-calculator,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,2,
2026-09-15T05:16:47Z,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-14T18:15:59Z,MOBILE,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,1,
2026-09-15T05:16:47Z,https://www.myglobalhealth.online/brazil/pt/tools/bmi-calculator,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-09-02T06:25:41Z,MOBILE,https://www.myglobalhealth.online/brazil/pt/tools/bmi-calculator,https://www.myglobalhealth.online/brazil/pt/tools/bmi-calculator,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,3,
