inspected_at,url,verdict,coverage_state,indexing_state,robots_txt_state,page_fetch_state,last_crawl_time,crawled_as,google_canonical,user_canonical,canonical_match,mobile_usability_verdict,rich_results_verdict,rich_results_types,sitemap_listed,referring_urls_count,error
2026-09-15T05:12:05Z,https://www.myglobalhealth.online/czechia/cs/legal/complaints-procedure,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-25T19:27:59Z,MOBILE,https://www.myglobalhealth.online/czechia/cs/legal/complaints-procedure,,unknown,VERDICT_UNSPECIFIED,,,yes,0,
2026-09-15T05:12:05Z,https://www.myglobalhealth.online/portugal/pt/legal,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-23T11:51:28Z,MOBILE,https://www.myglobalhealth.online/portugal/pt/legal,https://www.myglobalhealth.online/portugal/pt/legal,yes,VERDICT_UNSPECIFIED,PASS,Breadcrumbs,yes,4,
2026-09-15T05:12:05Z,https://www.myglobalhealth.online/portugal/pt/legal/terms-of-service,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-27T16:05:56Z,MOBILE,https://www.myglobalhealth.online/portugal/pt/legal/terms-of-service,https://www.myglobalhealth.online/portugal/pt/legal/terms-of-service,yes,VERDICT_UNSPECIFIED,,,yes,1,
2026-09-15T05:12:05Z,https://www.myglobalhealth.online/portugal/pt/legal/privacy-policy,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-20T15:43:01Z,MOBILE,https://www.myglobalhealth.online/portugal/pt/legal/privacy-policy,https://www.myglobalhealth.online/portugal/pt/legal/privacy-policy,yes,VERDICT_UNSPECIFIED,,,yes,1,
2026-09-15T05:12:05Z,https://www.myglobalhealth.online/portugal/pt/legal/refund-policy,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-25T19:30:01Z,MOBILE,https://www.myglobalhealth.online/portugal/pt/legal/refund-policy,,unknown,VERDICT_UNSPECIFIED,,,yes,0,
2026-09-15T05:12:05Z,https://www.myglobalhealth.online/portugal/pt/legal/medical-disclaimer,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-23T14:58:04Z,MOBILE,https://www.myglobalhealth.online/portugal/pt/legal/medical-disclaimer,,unknown,VERDICT_UNSPECIFIED,,,yes,2,
2026-09-15T05:12:05Z,https://www.myglobalhealth.online/portugal/pt/legal/complaints-procedure,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-25T17:56:08Z,MOBILE,https://www.myglobalhealth.online/portugal/pt/legal/complaints-procedure,https://www.myglobalhealth.online/portugal/pt/legal/complaints-procedure,yes,VERDICT_UNSPECIFIED,,,yes,1,
2026-09-15T05:12:05Z,https://www.myglobalhealth.online/spain/es/legal,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-19T19:19:54Z,MOBILE,https://www.myglobalhealth.online/spain/es/legal,https://www.myglobalhealth.online/spain/es/legal,yes,VERDICT_UNSPECIFIED,,,yes,2,
2026-09-15T05:12:05Z,https://www.myglobalhealth.online/spain/es/legal/terms-of-service,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-25T15:07:47Z,MOBILE,https://www.myglobalhealth.online/spain/es/legal/terms-of-service,,unknown,VERDICT_UNSPECIFIED,,,yes,0,
2026-09-15T05:12:05Z,https://www.myglobalhealth.online/spain/es/legal/privacy-policy,PASS,Submitted and indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-07-21T01:56:23Z,MOBILE,https://www.myglobalhealth.online/spain/es/legal/privacy-policy,https://www.myglobalhealth.online/spain/es/legal/privacy-policy,yes,VERDICT_UNSPECIFIED,,,yes,1,
