seed,source,used_fallback,keyword,search_volume,keyword_difficulty,cpc,competition,intent,trend_json
obnovení receptu online,ideas,true,stopky online,3600,0,1.25,0.01,navigational,"[{""year"":2026,""month"":7,""searchVolume"":2900},{""year"":2026,""month"":6,""searchVolume"":2900},{""year"":2026,""month"":5,""searchVolume"":2900},{""year"":2026,""month"":4,""searchVolume"":2900},{""year"":2026,""month"":3,""searchVolume"":4400},{""year"":2026,""month"":2,""searchVolume"":3600},{""year"":2026,""month"":1,""searchVolume"":5400},{""year"":2025,""month"":12,""searchVolume"":4400},{""year"":2025,""month"":11,""searchVolume"":5400},{""year"":2025,""month"":10,""searchVolume"":5400},{""year"":2025,""month"":9,""searchVolume"":4400},{""year"":2025,""month"":8,""searchVolume"":2900}]"
obnovení receptu online,ideas,true,podání online,480,0,,0.02,informational,"[{""year"":2026,""month"":7,""searchVolume"":390},{""year"":2026,""month"":6,""searchVolume"":480},{""year"":2026,""month"":5,""searchVolume"":390},{""year"":2026,""month"":4,""searchVolume"":480},{""year"":2026,""month"":3,""searchVolume"":480},{""year"":2026,""month"":2,""searchVolume"":480},{""year"":2026,""month"":1,""searchVolume"":590},{""year"":2025,""month"":12,""searchVolume"":480},{""year"":2025,""month"":11,""searchVolume"":480},{""year"":2025,""month"":10,""searchVolume"":480},{""year"":2025,""month"":9,""searchVolume"":390},{""year"":2025,""month"":8,""searchVolume"":480}]"
obnovení receptu online,ideas,true,džob online cz,720,0,,0.01,transactional,"[{""year"":2026,""month"":7,""searchVolume"":20},{""year"":2026,""month"":6,""searchVolume"":20},{""year"":2026,""month"":5,""searchVolume"":10},{""year"":2026,""month"":4,""searchVolume"":10},{""year"":2026,""month"":3,""searchVolume"":40},{""year"":2026,""month"":2,""searchVolume"":20},{""year"":2026,""month"":1,""searchVolume"":50},{""year"":2025,""month"":12,""searchVolume"":720},{""year"":2025,""month"":11,""searchVolume"":1600},{""year"":2025,""month"":10,""searchVolume"":1600},{""year"":2025,""month"":9,""searchVolume"":1900},{""year"":2025,""month"":8,""searchVolume"":3600}]"
obnovení receptu online,ideas,true,ulice online,4400,16,0.67,0.02,informational,"[{""year"":2026,""month"":7,""searchVolume"":720},{""year"":2026,""month"":6,""searchVolume"":4400},{""year"":2026,""month"":5,""searchVolume"":5400},{""year"":2026,""month"":4,""searchVolume"":5400},{""year"":2026,""month"":3,""searchVolume"":5400},{""year"":2026,""month"":2,""searchVolume"":3600},{""year"":2026,""month"":1,""searchVolume"":4400},{""year"":2025,""month"":12,""searchVolume"":4400},{""year"":2025,""month"":11,""searchVolume"":5400},{""year"":2025,""month"":10,""searchVolume"":5400},{""year"":2025,""month"":9,""searchVolume"":6600},{""year"":2025,""month"":8,""searchVolume"":3600}]"
obnovení receptu online,ideas,true,prostřeno online,1300,6,0.35,0.13,informational,"[{""year"":2026,""month"":7,""searchVolume"":390},{""year"":2026,""month"":6,""searchVolume"":720},{""year"":2026,""month"":5,""searchVolume"":880},{""year"":2026,""month"":4,""searchVolume"":1000},{""year"":2026,""month"":3,""searchVolume"":1300},{""year"":2026,""month"":2,""searchVolume"":1900},{""year"":2026,""month"":1,""searchVolume"":2900},{""year"":2025,""month"":12,""searchVolume"":1300},{""year"":2025,""month"":11,""searchVolume"":1600},{""year"":2025,""month"":10,""searchVolume"":1000},{""year"":2025,""month"":9,""searchVolume"":1000},{""year"":2025,""month"":8,""searchVolume"":590}]"
obnovení receptu online,ideas,true,trojčlenka online,2400,0,,0,informational,"[{""year"":2026,""month"":7,""searchVolume"":1600},{""year"":2026,""month"":6,""searchVolume"":1600},{""year"":2026,""month"":5,""searchVolume"":1900},{""year"":2026,""month"":4,""searchVolume"":2400},{""year"":2026,""month"":3,""searchVolume"":2400},{""year"":2026,""month"":2,""searchVolume"":2400},{""year"":2026,""month"":1,""searchVolume"":2400},{""year"":2025,""month"":12,""searchVolume"":1900},{""year"":2025,""month"":11,""searchVolume"":2400},{""year"":2025,""month"":10,""searchVolume"":2400},{""year"":2025,""month"":9,""searchVolume"":2400},{""year"":2025,""month"":8,""searchVolume"":2400}]"
obnovení receptu online,ideas,true,frekvence 1 online,4400,10,0.01,0.05,navigational,"[{""year"":2026,""month"":7,""searchVolume"":4400},{""year"":2026,""month"":6,""searchVolume"":4400},{""year"":2026,""month"":5,""searchVolume"":4400},{""year"":2026,""month"":4,""searchVolume"":4400},{""year"":2026,""month"":3,""searchVolume"":5400},{""year"":2026,""month"":2,""searchVolume"":3600},{""year"":2026,""month"":1,""searchVolume"":3600},{""year"":2025,""month"":12,""searchVolume"":3600},{""year"":2025,""month"":11,""searchVolume"":3600},{""year"":2025,""month"":10,""searchVolume"":4400},{""year"":2025,""month"":9,""searchVolume"":4400},{""year"":2025,""month"":8,""searchVolume"":5400}]"
obnovení receptu online,ideas,true,bazeny online,2900,28,1.16,1,navigational,"[{""year"":2026,""month"":7,""searchVolume"":4400},{""year"":2026,""month"":6,""searchVolume"":8100},{""year"":2026,""month"":5,""searchVolume"":8100},{""year"":2026,""month"":4,""searchVolume"":4400},{""year"":2026,""month"":3,""searchVolume"":2400},{""year"":2026,""month"":2,""searchVolume"":1000},{""year"":2026,""month"":1,""searchVolume"":880},{""year"":2025,""month"":12,""searchVolume"":390},{""year"":2025,""month"":11,""searchVolume"":880},{""year"":2025,""month"":10,""searchVolume"":1300},{""year"":2025,""month"":9,""searchVolume"":1600},{""year"":2025,""month"":8,""searchVolume"":2900}]"
obnovení receptu online,ideas,true,agentura jasno online,40,0,,0.01,navigational,"[{""year"":2026,""month"":7,""searchVolume"":20},{""year"":2026,""month"":6,""searchVolume"":30},{""year"":2026,""month"":5,""searchVolume"":20},{""year"":2026,""month"":4,""searchVolume"":30},{""year"":2026,""month"":3,""searchVolume"":70},{""year"":2026,""month"":2,""searchVolume"":40},{""year"":2026,""month"":1,""searchVolume"":40},{""year"":2025,""month"":12,""searchVolume"":30},{""year"":2025,""month"":11,""searchVolume"":20},{""year"":2025,""month"":10,""searchVolume"":50},{""year"":2025,""month"":9,""searchVolume"":50},{""year"":2025,""month"":8,""searchVolume"":70}]"
obnovení receptu online,ideas,true,online odpočet,90,0,,0,informational,"[{""year"":2026,""month"":7,""searchVolume"":30},{""year"":2026,""month"":6,""searchVolume"":40},{""year"":2026,""month"":5,""searchVolume"":30},{""year"":2026,""month"":4,""searchVolume"":40},{""year"":2026,""month"":3,""searchVolume"":50},{""year"":2026,""month"":2,""searchVolume"":70},{""year"":2026,""month"":1,""searchVolume"":110},{""year"":2025,""month"":12,""searchVolume"":320},{""year"":2025,""month"":11,""searchVolume"":90},{""year"":2025,""month"":10,""searchVolume"":90},{""year"":2025,""month"":9,""searchVolume"":70},{""year"":2025,""month"":8,""searchVolume"":50}]"
