"url","locale","source_status","review_status","reviewer_name","reviewed_at","approved_sha256","draft_sha256","claims_requiring_review","source","notes"
"https://www.myglobalhealth.online/romania/cs/doctors/dr-alexandra-palaga","cs","current public source captured","editorial/source review complete; publication pending","","","","60e61d000486af33898d2f29274bf13fca3a46842adc42bbd86ee8c512e16327","credentials, regulated specialty, cross-market FAQ ownership","raw/api/doctors-dr-alexandra-palaga-CS.json","Correct booking language/availability; narrow pediatric emergency scope; fix Palaga name typo where present. Other credential claims retained pending evidence."
"https://www.myglobalhealth.online/romania/cs/doctors/dr-andreea-lorena-bica","cs","current public source captured","editorial/source review complete; publication pending","","","","810719ac5ed2f98bd06a9f34bf5de1657b923e57a524d2afde9508c3fd7412de","credentials, regulated specialty, cross-market FAQ ownership","raw/api/doctors-dr-andreea-lorena-bica-CS.json","Correct booking language/availability; narrow pediatric emergency scope; fix Palaga name typo where present. Other credential claims retained pending evidence."
"https://www.myglobalhealth.online/romania/cs/doctors/dr-robert-gabriel-brindus","cs","current public source captured","editorial/source review complete; publication pending","","","","48a929348fff2a1123f03389ac642d23f1df22e5ab69628b69716159ff73aa77","credentials, regulated specialty, cross-market FAQ ownership","raw/api/doctors-dr-robert-gabriel-brindus-CS.json","Correct booking language/availability; narrow pediatric emergency scope; fix Palaga name typo where present. Other credential claims retained pending evidence."
"https://www.myglobalhealth.online/romania/cs/services/a-doua-opinie-medicala","cs","current public source captured","editorial/source review complete; publication pending","","","","ad0e732fe7322fb66b964b462f7ec542ad3d901293215ec64684b54760eeafee","clinical scope, document eligibility, removal of old embedded claims","raw/api/services-a-doua-opinie-medicala-CS.json","Add native FAQs; replace any exact embedded FAQ block. Scope/language-aware metadata and H1 drafted."
"https://www.myglobalhealth.online/romania/cs/services/boli-cronice-online","cs","current public source captured","editorial/source review complete; publication pending","","","","148c7f8b96b9244fc5eef0fea10c3191af92bccdda8447f628be3c7da665b205","clinical scope, document eligibility, removal of old embedded claims","raw/api/services-boli-cronice-online-CS.json","Add native FAQs; replace any exact embedded FAQ block. Scope/language-aware metadata and H1 drafted."
"https://www.myglobalhealth.online/romania/cs/services/caderea-parului-online","cs","current public source captured","editorial/source review complete; publication pending","","","","917081b0553d0a4a3a71eb122cb0e0fb59816a31f78a47a5e4324d1b0f755d3e","clinical scope, document eligibility, removal of old embedded claims","raw/api/services-caderea-parului-online-CS.json","Add native FAQs; replace any exact embedded FAQ block. Scope/language-aware metadata and H1 drafted."
"https://www.myglobalhealth.online/romania/cs/services/consultatie-dermatologica","cs","current public source captured","editorial/source review complete; publication pending","","","","75737ef5020704cd166e921da71debf46e9bc3893a5b9be4b8a91f295c832e32","clinical scope, document eligibility, removal of old embedded claims","raw/api/services-consultatie-dermatologica-CS.json","Add native FAQs; replace any exact embedded FAQ block. Scope/language-aware metadata and H1 drafted."
"https://www.myglobalhealth.online/romania/cs/services/consultatie-neurologie","cs","current public source captured","editorial/source review complete; publication pending","","","","740d54cbdc0f868c29e5cea2d3bb318ff3840cc56eefe616fc39438f64d88ac9","clinical scope, document eligibility, removal of old embedded claims","raw/api/services-consultatie-neurologie-CS.json","Add native FAQs; replace any exact embedded FAQ block. Scope/language-aware metadata and H1 drafted."
"https://www.myglobalhealth.online/romania/cs/services/consultatie-pediatrie","cs","current public source captured","editorial/source review complete; publication pending","","","","690bb02ecb533ba7fb9c5b70035314c23e7baa1ad845e1af770f6c3cd7c8622d","clinical scope, document eligibility, removal of old embedded claims","raw/api/services-consultatie-pediatrie-CS.json","Add native FAQs; replace any exact embedded FAQ block. Scope/language-aware metadata and H1 drafted."
"https://www.myglobalhealth.online/romania/cs/services/controlul-greutatii","cs","current public source captured","editorial/source review complete; publication pending","","","","bc3d5a408e7c05ac0beab846d8fcd037765fded3272d42a417210f42973a3b85","clinical scope, document eligibility, removal of old embedded claims","raw/api/services-controlul-greutatii-CS.json","Add native FAQs; replace any exact embedded FAQ block. Scope/language-aware metadata and H1 drafted."
"https://www.myglobalhealth.online/romania/cs/services/dureri-musculo-scheletice","cs","current public source captured","editorial/source review complete; publication pending","","","","3f7ffa6e225a8eb4c8d8138a693518bfc895afb86f67ff6c9fd5d03903588b3c","clinical scope, document eligibility, removal of old embedded claims","raw/api/services-dureri-musculo-scheletice-CS.json","Add native FAQs; replace any exact embedded FAQ block. Scope/language-aware metadata and H1 drafted."
"https://www.myglobalhealth.online/romania/cs/services/evaluare-durere","cs","current public source captured","operations hold","","","","","clinical scope, document eligibility, removal of old embedded claims","","No assigned approved doctor. Do not market or draft as bookable; operational decision needed."
"https://www.myglobalhealth.online/romania/cs/services/medic-online-romania","cs","current public source captured","editorial/source review complete; publication pending","","","","44487a33c0deef60f1f414ff04f5bb62d400fb529219c1a1c38e72ed92e26cb7","clinical scope, document eligibility, removal of old embedded claims","raw/api/services-medic-online-romania-CS.json","Add native FAQs; replace any exact embedded FAQ block. Scope/language-aware metadata and H1 drafted."
"https://www.myglobalhealth.online/romania/cs/services/medic-pediatru-online","cs","current public source captured","editorial/source review complete; publication pending","","","","1883a7fce7d799b5166382956d887b470a79cdd04e90726d9c116750b9b56923","clinical scope, document eligibility, removal of old embedded claims","raw/api/services-medic-pediatru-online-CS.json","Add native FAQs; replace any exact embedded FAQ block. Scope/language-aware metadata and H1 drafted."
"https://www.myglobalhealth.online/romania/cs/services/medicina-calatoriei","cs","current public source captured","editorial/source review complete; publication pending","","","","83d08b48b9992ea1904700fc604c6837776d14919bf465e7ca6c244e5f564519","clinical scope, document eligibility, removal of old embedded claims","raw/api/services-medicina-calatoriei-CS.json","Add native FAQs; replace any exact embedded FAQ block. Scope/language-aware metadata and H1 drafted."
"https://www.myglobalhealth.online/romania/cs/services/reinnoire-tratament","cs","current public source captured","editorial/source review complete; publication pending","","","","607fd4962c7689726ed93b5a717c6b1f3c434ff246ecac95394511f0ddd7f288","clinical scope, document eligibility, removal of old embedded claims","raw/api/services-reinnoire-tratament-CS.json","Add native FAQs; replace any exact embedded FAQ block. Scope/language-aware metadata and H1 drafted."
