path,kind,reason,approved_by
/ireland-doctors/dr-grainne-ahern,gone_doctor,"departed clinician: 74 clicks / 600 impressions over 90 days across 4 URL variants, average position 3.8 (measured 2026-08-08)","Owner decision, 2026-08-08 — confirmed departed"
/en/ireland-doctors/dr-grainne-ahern,gone_doctor,"departed clinician: 74 clicks / 600 impressions over 90 days across 4 URL variants, average position 3.8 (measured 2026-08-08)","Owner decision, 2026-08-08 — confirmed departed"
/pt/ireland-doctors/dr-grainne-ahern,gone_doctor,"departed clinician: 74 clicks / 600 impressions over 90 days across 4 URL variants, average position 3.8 (measured 2026-08-08)","Owner decision, 2026-08-08 — confirmed departed"
/es/ireland-doctors/dr-grainne-ahern,gone_doctor,"departed clinician: 74 clicks / 600 impressions over 90 days across 4 URL variants, average position 3.8 (measured 2026-08-08)","Owner decision, 2026-08-08 — confirmed departed"
/cs/ireland-doctors/dr-grainne-ahern,gone_doctor,"departed clinician: 74 clicks / 600 impressions over 90 days across 4 URL variants, average position 3.8 (measured 2026-08-08)","Owner decision, 2026-08-08 — confirmed departed"
/ro/ireland-doctors/dr-grainne-ahern,gone_doctor,"departed clinician: 74 clicks / 600 impressions over 90 days across 4 URL variants, average position 3.8 (measured 2026-08-08)","Owner decision, 2026-08-08 — confirmed departed"
/de/ireland-doctors/dr-grainne-ahern,gone_doctor,"departed clinician: 74 clicks / 600 impressions over 90 days across 4 URL variants, average position 3.8 (measured 2026-08-08)","Owner decision, 2026-08-08 — confirmed departed"
/ireland-doctors/dr-mala-vili-rajan,gone_doctor,departed clinician: 0 clicks / 61 impressions over 90 days (measured 2026-08-08),"Owner decision, 2026-09-08 — confirmed permanently gone"
/en/ireland-doctors/dr-mala-vili-rajan,gone_doctor,departed clinician: 0 clicks / 61 impressions over 90 days (measured 2026-08-08),"Owner decision, 2026-09-08 — confirmed permanently gone"
/pt/ireland-doctors/dr-mala-vili-rajan,gone_doctor,departed clinician: 0 clicks / 61 impressions over 90 days (measured 2026-08-08),"Owner decision, 2026-09-08 — confirmed permanently gone"
/es/ireland-doctors/dr-mala-vili-rajan,gone_doctor,departed clinician: 0 clicks / 61 impressions over 90 days (measured 2026-08-08),"Owner decision, 2026-09-08 — confirmed permanently gone"
/cs/ireland-doctors/dr-mala-vili-rajan,gone_doctor,departed clinician: 0 clicks / 61 impressions over 90 days (measured 2026-08-08),"Owner decision, 2026-09-08 — confirmed permanently gone"
/ro/ireland-doctors/dr-mala-vili-rajan,gone_doctor,departed clinician: 0 clicks / 61 impressions over 90 days (measured 2026-08-08),"Owner decision, 2026-09-08 — confirmed permanently gone"
/de/ireland-doctors/dr-mala-vili-rajan,gone_doctor,departed clinician: 0 clicks / 61 impressions over 90 days (measured 2026-08-08),"Owner decision, 2026-09-08 — confirmed permanently gone"
/ireland-doctors/dr-andra-cristea,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/es/ireland-doctors/dr-mirza-aun-mohammad,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/ro/spain-doctors/irene-galve-moros,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/es/spain-doctors/irene-galve-moros,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/pt/spain-doctors/dr-yliana-muñoz-bravo,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/pt/spain-doctors/dr-daniela-stefani-,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/portugal-doctors/dr-luis-infante,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/ro/l,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/ro/general-5,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/es/items-2/this-is-a-title-03,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/es/product-page/beauty-focus-multibeauty,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/pt/product-page/beauty-focus-multibeauty,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/cs/product-page/beauty-focus-multibeauty,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/ro/product-page/beauty-focus-multibeauty,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/product-page/telemedicine-kit,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/pt/product-page/telemedicine-kit,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/cs/product-page/telemedicine-kit,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/gift-card,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/cs/gift-card,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/es/gift-card,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/pt/gift-card,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
/ro/gift-card,retired_legacy_url,Wix alias/placeholder — see gone-content.ts,"Site owner instruction, 2026-08-17"
